Position,Move,Depth
2k5/ppp3pp/6N1/8/8/2b1P1P1/2NrK1BP/6B1 w - - 1 26,e2f3,1
2r3r1/pp2kpb1/2b1p1pp/4n3/4PQ2/PP1PN1P1/2P2P1P/1R3RKB w - - 0 18,d3d4,1
1q1rkr2/pp3pnp/2pn2pQ/3p4/3Pb3/2P2NP1/PP2P2P/3RKRNB b KQkq - 1 15,g7f5,20
3r3q/pkn3bp/1p3pp1/2p1p3/8/1NP1N1QP/PP2BPP1/6K1 b - - 0 21,f6f5,2
bbnrkr2/p2pppp1/1p3n1q/7p/2PN4/1P1N3P/P3PPP1/BB1RKR1Q b KQkq - 0 7,e7e6,20
qr3rk1/ppp2bbp/2n2p2/3ppP2/3nN1PP/2NP4/PPP5/QK1RR1BB w - - 0 14,e4f6,20
1k1rr1q1/1pp1b1pp/1n1p3n/p2bPpN1/3P1P2/1N1BB3/PPP4P/1K1R1RQ1 b - - 1 17,b6c4,20
bnqnrrkb/p2p1p1p/1pp3p1/4p3/4P3/1P2N1P1/P1PPNP1P/B1Q1RKRB b KQ - 1 6,--,28,ERROR
1rbkr2b/pppp2pN/1nnq1P2/4p3/4P3/8/PPPP1P1P/NRBKRQ1B b KQkq - 0 7,g7f6,20
5rk1/p6p/1pp2R2/2q5/2p5/2P5/PP4PP/4R2K w - - 1 34,f6f8,1
7r/qbpRk1pp/2B1p3/4P3/1p4P1/8/P6P/B6K b - - 3 28,e7e8,1
r1k1b1r1/pppp1pqp/2n3p1/4b3/3nP3/2P1B1P1/PP5P/RNKN1QRB w KQkq - 0 9,c3d4,20
1r2k1r1/pp1bq2p/2p2bp1/3p1p2/2nN1P2/2P1P3/PPB3PP/1RB2RKQ w kq - 3 14,g2g3,20
1k4r1/pp4pp/6n1/3ppp2/3rbP2/4K3/PP4PP/R5R1 b - - 0 22,g6f4,1
1r4kb/1pp1pr1p/pn1p4/5p2/3P4/1PPN2P1/P1NB1P1P/1R1K2R1 w KQ - 0 16,c2e3,1
rbqnbrk1/pppppppp/6n1/8/2P5/6N1/PP1PPPPP/RBQNBKR1 w KQ - 3 3,d2d4,20
2q2krb/p4p1p/bp1rp1p1/2p5/2Pn1PN1/1P4P1/P2P3P/B1Q1RRKB b k - 1 15,h7h5,20
1nqbrkbr/ppp2p1p/1n1pp1p1/8/3PP1B1/1P3P2/P1P3PP/NNQ1RKBR b KQkq - 0 5,h7h5,20
brq1knrn/pp1pp1pp/5p2/2p5/2P5/2Q1N3/PP1PPPPb/BR1BKR1N w Qkq - 0 5,--,32,ERROR
1q1r1rk1/pp1nnpbb/6p1/3pPP1p/3p4/1PPBN3/P3NB1P/1Q1RK1R1 w Q - 0 17,c3d4,20
